bfield	diode	hall	time 		
324.1240440E-3	-4.0638938E+0	2.9992987E+0	12.6000004E+0
324.1255688E-3	-4.0642192E+0	2.9993127E+0	12.6999998E+0
324.1195776E-3	-4.0650778E+0	2.9992574E+0	12.8000002E+0
324.1465247E-3	-4.0816827E+0	2.9995062E+0	12.9000006E+0
324.1355087E-3	-4.0821299E+0	2.9994045E+0	13.0000000E+0
324.1233470E-3	-4.0808597E+0	2.9992922E+0	13.1000004E+0
324.1228738E-3	-4.0830571E+0	2.9992878E+0	13.1999998E+0
324.1244576E-3	-4.0886340E+0	2.9993025E+0	13.3000002E+0
324.1470035E-3	-4.0891288E+0	2.9995107E+0	13.4000006E+0
324.1356428E-3	-4.0823874E+0	2.9994058E+0	13.5000000E+0
324.1444130E-3	-4.0794099E+0	2.9994867E+0	13.6000004E+0
324.1257022E-3	-4.0821917E+0	2.9993140E+0	13.6999998E+0
324.1292792E-3	-4.0753366E+0	2.9993470E+0	13.8000002E+0
324.1382539E-3	-4.0669754E+0	2.9994299E+0	13.9000006E+0
324.1246577E-3	-4.0653473E+0	2.9993043E+0	14.0000000E+0
324.1408935E-3	-4.0643327E+0	2.9994542E+0	14.1000004E+0
324.1240704E-3	-4.0662825E+0	2.9992989E+0	14.1999998E+0
324.1234162E-3	-4.0665802E+0	2.9992929E+0	14.3000002E+0
324.1345233E-3	-4.0623240E+0	2.9993954E+0	14.4000006E+0
324.1489084E-3	-4.0624430E+0	2.9995282E+0	14.5000000E+0
324.1730152E-3	-4.0671773E+0	2.9997508E+0	14.6000004E+0
324.1601099E-3	-4.0674794E+0	2.9996317E+0	14.6999998E+0
324.1563792E-3	-4.0659234E+0	2.9995972E+0	14.8000002E+0
324.1719068E-3	-4.0587200E+0	2.9997406E+0	14.9000006E+0
324.1598635E-3	-4.0639050E+0	2.9996294E+0	15.0000000E+0
324.1486660E-3	-4.0756793E+0	2.9995260E+0	15.1000004E+0
324.1844295E-3	-4.0835998E+0	2.9998562E+0	15.1999998E+0
324.1302152E-3	-4.0840662E+0	2.9993556E+0	15.3000002E+0
324.1448498E-3	-4.0870530E+0	2.9994908E+0	15.4000006E+0
324.1533525E-3	-4.0753503E+0	2.9995693E+0	15.5000000E+0
324.1072758E-3	-4.0702178E+0	2.9991438E+0	15.6000004E+0
324.1190174E-3	-4.0711497E+0	2.9992522E+0	15.6999998E+0
324.1018273E-3	-4.0597417E+0	2.9990935E+0	15.8000002E+0
324.1192253E-3	-4.0836964E+0	2.9992542E+0	15.9000006E+0
324.1301591E-3	-4.0921235E+0	2.9993551E+0	16.0000000E+0
