angle,B,strength,E_i,v_i,E_f,v_f,id
0.12578949563923095,0.03721860930465233,0.013867504806492147,4.160846003236069,[-5.55882979e-06  1.52215084e-04  1.08982491e-02  9.99940601e-01],-5.177967021245174,[ 0.00903034 -0.99230245 -0.1234992   0.00149711],2->1
0.12578949563923095,0.38619309654827416,0.42743352387969835,-0.23821824711858108,[ 0.05279937 -0.99057096 -0.1255778  -0.0145472 ],-9.568129344669918,[ 0.00312896 -0.08355736  0.56536581  0.82059118],2->1
0.12578949563923095,0.07683841920960481,0.731640457075331,2.5150832829085465,[-3.46268737e-05  9.47678616e-04  2.51691644e-02  9.99682757e-01],-6.816347876821029,[ 0.00183321 -0.12337343  0.99204719 -0.0248599 ],2->0
0.12578949563923095,0.3165582791395698,0.821710546682166,-1.2191038673096706,[ 0.04741588 -0.99070184 -0.12603797 -0.01939168],-10.542281114986817,[ 0.00374687 -0.1145708   0.94776981 -0.29764388],2->0
0.12736186433472133,0.112056028014007,1.760169955106847e-05,10.385093106872606,[9.99718046e-01 2.37390098e-02 5.36225533e-04 1.98048878e-05],1.0574559865096445,[-1.17366936e-04  3.17008809e-03  4.15709855e-02  9.99130517e-01],3->2
0.12736186433472133,0.03721860930465233,0.01420396105668035,4.16118703819467,[-5.76951171e-06  1.56011254e-04  1.10335240e-02  9.99939117e-01],-5.177692496140941,[ 0.00914132 -0.99211513 -0.12498658  0.00153397],2->1
0.12736186433472133,0.38619309654827416,0.4294468519017774,-0.23652380379777477,[ 0.05345477 -0.99033085 -0.12714159 -0.01491371],-9.553689875430095,[ 0.00321762 -0.08482206  0.56584736  0.82012903],2->1
0.12736186433472133,0.07683841920960481,0.7311953639612245,2.515870678916765,[-3.59349149e-05  9.71183435e-04  2.54810021e-02  9.99674834e-01],-6.8171123041097585,[ 0.0018783  -0.12485628  0.99185399 -0.02516029],2->0
0.12736186433472133,0.31615807903951976,0.819310696654756,-1.223197019505555,[ 0.04796934 -0.99046154 -0.12762333 -0.01992911],-10.543656876401467,[ 0.00383358 -0.11585844  0.94725406 -0.298784  ],2->0
0.12736186433472133,0.719159579789895,0.7547784375467279,-15.467744134185187,[ 0.00542245 -0.12520166  0.9619514   0.24278519],-24.794030093909292,[-7.82045034e-04  2.13507577e-02 -2.42041038e-01  9.70030757e-01],1->0
0.12893423303021173,0.07683841920960481,0.7307455430404217,2.516667762532484,[-3.72752336e-05  9.94963631e-04  2.57927364e-02  9.99666816e-01],-6.817885577376684,[ 0.00192389 -0.12633701  0.99165873 -0.0254603 ],2->0
0.12893423303021173,0.31575787893946977,0.8169154127114768,-1.2272712576389038,[ 0.04852173 -0.99021784 -0.12920921 -0.02047549],-10.545039702125212,[ 0.0039211  -0.1171433   0.94674468 -0.29989428],2->0
0.12893423303021173,0.7183591795897949,0.7549037817584138,-15.448802299923043,[ 0.00555451 -0.12669198  0.96098459  0.24581883],-24.768180033198583,[-8.11531019e-04  2.18877785e-02 -2.45046393e-01  9.69263912e-01],1->0
0.12893423303021173,0.3865932966483242,0.43357786088779626,-0.22917104899006935,[ 0.05413891 -0.99008653 -0.12870343 -0.01526684],-9.551153451324023,[ 0.00331556 -0.08628437  0.56807825  0.81843211],2->1
0.12893423303021173,0.112056028014007,1.8472096178714643e-05,10.384350454238248,[9.99711054e-01 2.40313760e-02 5.49537101e-04 2.05494419e-05],1.0587556767551212,[-1.21721246e-04  3.24704034e-03  4.20792260e-02  9.99108993e-01],3->2
0.12893423303021173,0.03721860930465233,0.014544003741867472,4.161532279086289,[-5.98543605e-06  1.59852940e-04  1.11687634e-02  9.99937615e-01],-5.177414816357998,[ 0.00925223 -0.99192579 -0.12647196  0.00157125],2->1
0.1305066017257021,0.112056028014007,1.937381396556465e-05,10.383598716892038,[9.99703976e-01 2.43237162e-02 5.63011494e-04 2.13125007e-05],1.0600711294684746,[-1.26180212e-04  3.32484903e-03  4.25872807e-02  9.99087210e-01],3->2
0.1305066017257021,0.03721860930465233,0.014887612791174159,4.161881724783188,[-6.20666633e-06  1.63740082e-04  1.13039670e-02  9.99936095e-01],-5.177133990879777,[ 0.00936307 -0.99173443 -0.12795531  0.00160895],2->1
0.1305066017257021,0.3869934967483742,0.4376351673985992,-0.2217946864979867,[ 0.05482354 -0.98983904 -0.1302649  -0.01562374],-9.548542932817428,[ 0.00341503 -0.08774746  0.57023843  0.81677222],2->1
0.1305066017257021,0.07683841920960481,0.7302910213789116,2.517474530295093,[-3.86482075e-05  1.01901860e-03  2.61043661e-02  9.99658703e-01],-6.818667673757087,[ 0.00197    -0.12781563  0.9914614  -0.02575994],2->0
